case_id,MRI_Shape,WT_Dice,TC_Dice,ET_Dice,WT_HD95,TC_HD95,ET_HD95,fg_volume,fg_mean_t1n,fg_mean_t1c,fg_mean_t2w,fg_mean_t2f,BG_Dice_wo,NC_Dice_wo,ED_Dice_wo,ET_Dice_wo,NC_Volume,ED_Volume,ET_Volume,BG_Volume,BG_Precision,NC_Precision,ED_Precision,ET_Precision,BG_Recall,NC_Recall,ED_Recall,ET_Recall,BG_F1,NC_F1,ED_F1,ET_F1,BG_TP,BG_FP,BG_FN,NC_TP,NC_FP,NC_FN,ED_TP,ED_FP,ED_FN,ET_TP,ET_FP,ET_FN,conf_BG_BG,conf_BG_NC,conf_BG_ED,conf_BG_ET,conf_NC_BG,conf_NC_NC,conf_NC_ED,conf_NC_ET,conf_ED_BG,conf_ED_NC,conf_ED_ED,conf_ED_ET,conf_ET_BG,conf_ET_NC,conf_ET_ED,conf_ET_ET,GT_Unique_Labels,recons_unique_labels,FP_Count,FP_Boundary_Ratio,FP_in_BG,FP_in_NC,FP_in_ED,FP_in_ET
BraTS2021_01089,"torch.Size([1, 4, 240, 240, 155])",0.9500446915626526,0.9867503046989441,0.9495946168899536,39.37004089355469,1.0,1.0,163650,329.2908,833.5192260742188,964.02734,468.36566,0.9990692138671875,0.9769575595855713,0.9235779643058777,0.9486901760101318,29593,113070,20987,8764350,0.9987876192111725,0.9987658674188998,0.9492452478568766,0.9118782349328889,0.9993770216844375,0.9571520291960937,0.9009728486778102,0.9905655882212798,0.9990822335192135,0.9775162631787828,0.9244793320931076,0.9495946100262647,8758890,10632,5460,28325,35,1268,101873,5447,11197,20789,2009,198,8758890,0,5151,309,11,28325,211,1046,10543,0,101873,654,78,35,85,20789,4,4,7491,0.9731678013603349,5460,1257,654,120
BraTS2021_00740,"torch.Size([1, 4, 240, 240, 155])",0.9610929489135742,0.919425904750824,0.8644869327545166,2.0,1.7320507764816284,1.4142135381698608,94723,2473.911,5060.966796875,896.6818,1964.8203,0.99956876039505,0.9483155608177185,0.9411436319351196,0.8644293546676636,5167,75630,13926,8833277,0.9996934745637674,0.9230769230769231,0.9137541016207616,0.988721456965887,0.9994630531794713,0.9800658022063092,0.9720613513156156,0.7679879362343818,0.9995782505925155,0.9507181075753309,0.9420063298438041,0.8644869255951179,8828534,2707,4743,5064,422,103,73517,6939,2113,10695,122,3231,8828534,6,4718,19,4,5064,2,97,2107,0,73517,6,596,416,2219,10695,4,4,7483,0.9520245890672832,4743,99,6,2635
BraTS2021_00310,"torch.Size([1, 4, 240, 240, 155])",0.9468172192573547,0.9591302275657654,0.8960623741149902,2.2360680103302,1.7320507764816284,1.7320507764816284,97205,393.10077,1117.5416259765625,958.5426,461.7327,0.9994047284126282,0.847001314163208,0.8501332998275757,0.8956694602966309,16558,40539,40108,8830795,0.999517039643298,0.9446713702190865,0.8556955708047411,0.8422923340207995,0.9993005159784595,0.7682087208600072,0.8459014775894818,0.9571656527376085,0.9994087660833207,0.847350364720381,0.8507703376584712,0.8960623672478585,8824618,4264,6177,12720,745,3838,34292,5783,6247,38390,7188,1718,8824618,93,5340,744,7,12720,61,3770,3531,42,34292,2674,726,610,382,38390,4,4,13716,0.9886993292497894,6177,3831,2716,992
BraTS2021_01141,"torch.Size([1, 4, 240, 240, 155])",0.972400963306427,0.9590867161750793,0.9475908279418945,1.4142135381698608,3.1622776985168457,2.0,156606,524.78424,807.04541015625,1048.9745,940.37335,0.9995050430297852,0.8463841676712036,0.9475525617599487,0.9471685290336609,9087,88963,58556,8771394,0.9993741592865484,0.9042632759910246,0.9489654550983859,0.9571580396187954,0.9996480605021277,0.7982832618025751,0.9470454008970022,0.9382129926907575,0.9995110911296953,0.8479747501315097,0.9480044557964736,0.9475908342173122,8768307,5491,3087,7254,768,1833,84252,4531,4711,54938,2459,3618,8768307,1,2318,768,91,7254,890,852,3870,2,84252,839,1530,765,1323,54938,4,4,7758,0.9872389791170569,3087,1742,841,2088
BraTS2021_00404,"torch.Size([1, 4, 240, 240, 155])",0.9529382586479187,0.8748757243156433,0.8372726440429688,2.4494898319244385,6.4031243324279785,3.0,148743,266.24634,443.74932861328125,797.44415,421.39053,0.9992187023162842,0.700801432132721,0.8638864755630493,0.8349738121032715,23188,93963,31592,8779257,0.998788311387244,0.7068626164545335,0.8679585205520585,0.9481881881881882,0.9996590827674825,0.69695532171813,0.8613816076540766,0.749588503418587,0.9992235073693932,0.7018740092506135,0.864657557661286,0.837272614775399,8776264,10647,2993,16161,6702,7027,80938,12313,13025,23681,1294,7911,8776264,74,2692,227,100,16161,6484,443,10377,2024,80938,624,170,4604,3137,23681,4,4,20309,0.9992614111965142,2993,6927,2648,7741
BraTS2021_00217,"torch.Size([1, 4, 240, 240, 155])",0.9778041839599609,0.9819706082344055,0.9778646230697632,1.0,1.0,1.7320507764816284,160793,263.79065,573.7101440429688,754.33405,441.83716,0.999575138092041,0.6169799566268921,0.9731317162513733,0.9767525792121887,125,145974,14694,8767207,0.9998720640934925,0.4609375,0.9589657073400771,0.968305865083072,0.9993010316740554,0.944,0.989073396632277,0.9876139921056214,0.9995864663305496,0.6194225721784777,0.9737868890605029,0.9778646272025875,8761079,1121,6128,118,138,7,144379,6178,1595,14512,475,182,8761079,0,6125,3,0,118,3,4,1115,12,144379,468,6,126,50,14512,4,4,6791,0.958916212632957,6128,7,480,176
BraTS2021_00639,"torch.Size([1, 4, 240, 240, 155])",0.9785802364349365,0.9689151644706726,0.9520995616912842,1.0,1.0,1.0,44969,794.7302,4237.705078125,906.1035,2364.0095,0.9998897910118103,0.9521074891090393,0.9666154384613037,0.95096755027771,1519,36799,6651,8883031,0.9998158571321482,0.9576999339061467,0.9795941123996432,0.9859880818167177,0.999970618136985,0.9539170506912442,0.9549172531862279,0.9204630882574049,0.999893231646185,0.9558047493403694,0.96709829230367,0.952099533437014,8882770,1636,261,1449,64,70,35140,732,1659,6122,87,529,8882770,0,261,0,0,1449,6,64,1636,0,35140,23,0,64,465,6122,4,4,883,0.999999999988675,261,70,23,529
BraTS2021_01489,"torch.Size([1, 4, 240, 240, 155])",0.9363253116607666,0.788999617099762,0.40978652238845825,7.141428470611572,11.180339813232422,19.442222595214844,196181,689.38916,776.3327026367188,1620.9125,1173.442,0.9986287355422974,0.7796478867530823,0.500619113445282,0.40664803981781006,138162,54457,3562,8731819,0.9975036004005574,0.9871073941911465,0.4257580573390121,0.3087984054669704,0.9997866423937555,0.6467045931587556,0.6149439006922893,0.6089275687815834,0.9986438165590736,0.781444732572733,0.503155237694573,0.40978651048554693,8729956,21848,1863,89350,1167,48812,33488,45167,20969,2169,4855,1393,8729956,67,1416,380,3556,89350,42908,2348,18265,577,33488,2127,27,523,843,2169,4,4,51189,0.9850553829922474,1863,45256,2704,1366
BraTS2021_01637,"torch.Size([1, 4, 240, 240, 155])",0.0709884762763977,1.0,1.0,15.779733657836914,,,7089,2218.4656,0.0,1964.6207,1599.804,0.999610960483551,0.0005649328231811523,0.07822674512863159,6.4849853515625e-05,0,7089,0,8920911,0.9992356308056467,0.0,0.7029177718832891,0.0,0.9999874452284078,0.0,0.03738185921850755,0.0,0.9996113966558822,0.0,0.07098848111438522,0.0,8920799,6824,112,0,0,0,265,112,6824,0,0,0,8920799,0,112,0,0,0,0,0,6824,0,265,0,0,0,0,0,2,2,112,0.8571428570663265,112,0,0,0
BraTS2021_01255,"torch.Size([1, 4, 240, 240, 155])",0.8185851573944092,0.9288601279258728,0.9288601279258728,2.2360680103302,1.4142135381698608,1.4142135381698608,7513,304.96967,873.8214721679688,661.1926,312.09402,0.9998226165771484,0.0004723668098449707,0.7850332260131836,0.925980806350708,0,6275,1238,8920487,0.9999230841075284,0.0,0.7092422140965831,0.9296116504854369,0.9997376824830304,0.0,0.896414342629482,0.9281098546042004,0.9998303747003809,0.0,0.7919189075038716,0.9288601455133387,8918147,686,2340,0,0,0,5625,2306,650,1149,87,89,8918147,0,2294,46,0,0,0,0,609,0,5625,41,77,0,12,1149,3,3,2393,0.8424571667327938,2340,0,41,12
